Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,JEE Based,Govt / GIA,909029,921119,MODASA
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",GEN,JEE Based,Govt / GIA,916020,990007,PALANPUR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",GEN,GUJCET Based,Govt / GIA,10545,18028,PALANPUR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",GEN,JEE Based,Govt / GIA,903117,903117,PALANPUR
COMPUTER ENGINEERING - TFWS,"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",TFWs,GUJCET Based,Govt / GIA,7476,11693,PALANPUR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",GEN,GUJCET Based,Govt / GIA,39028,40067,PALANPUR
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,GUJCET Based,Govt / GIA,23274,35733,PATAN
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,JEE Based,Govt / GIA,907588,931751,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",EWS,GUJCET Based,Govt / GIA,14383,18594,PATAN
COMPUTER SCIENCE & ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,GUJCET Based,Govt / GIA,8797,12445,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",SC,GUJCET Based,Govt / GIA,33127,33127,PATAN
COMPUTER SCIENCE & ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",SEBC,GUJCET Based,Govt / GIA,12705,21796,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",ST,GUJCET Based,Govt / GIA,32489,36542,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",EWS,JEE Based,Govt / GIA,904121,904121,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,JEE Based,Govt / GIA,902316,902865,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",SEBC,JEE Based,Govt / GIA,907652,908578,PATAN
"COMPUTER SCIENCE &
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",ST,JEE Based,Govt / GIA,914788,914788,PATAN
"COMPUTER SCIENCE &
ENGINEERING - TFWS","GOVERNMENT ENGINEERING COLLEGE, PATAN",TFWs,GUJCET Based,Govt / GIA,5038,5038,PATAN
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,JEE Based,Govt / GIA,923949,931518,PATAN
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",EWS,GUJCET Based,Govt / GIA,33792,37332,PATAN
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,GUJCET Based,Govt / GIA,22965,32729,PATAN
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, PATAN",SEBC,GUJCET Based,Govt / GIA,33076,39848,PATAN
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,JEE Based,Govt / GIA,907565,907565,PATAN
ELECTRONICS & COMMUNICATION ENGINEERING - TFWS,"GOVERNMENT ENGINEERING COLLEGE, PATAN",TFWs,GUJCET Based,Govt / GIA,20491,20491,PATAN
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,GUJCET Based,Govt / GIA,26432,50609,PATAN
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, PATAN",GEN,JEE Based,Govt / GIA,911619,930388,PATAN
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",EWS,GUJCET Based,Govt / GIA,12068,14358,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,5740,10956,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SC,GUJCET Based,Govt / GIA,34281,34281,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,GUJCET Based,Govt / GIA,11367,17888,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,902018,902018,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SC,JEE Based,Govt / GIA,910135,910135,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,JEE Based,Govt / GIA,905600,905600,RAJKOT
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE - TFWS,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",TFWs,GUJCET Based,Govt / GIA,4514,4514,RAJKOT
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,29370,39699,RAJKOT
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,908569,908569,RAJKOT
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,JEE Based,Govt / GIA,932491,932491,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",ESM,GUJCET Based,Govt / GIA,29826,29826,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",EWS,GUJCET Based,Govt / GIA,7787,9165,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,3748,6593,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SC,GUJCET Based,Govt / GIA,20729,20729,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,GUJCET Based,Govt / GIA,8735,9698,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",ST,GUJCET Based,Govt / GIA,37546,39640,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,901329,901329,RAJKOT
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,JEE Based,Govt / GIA,902560,902560,RAJKOT
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,15155,35208,RAJKOT
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,906238,906734,RAJKOT
ELECTRICAL ENGINEERING - TFWS,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",TFWs,GUJCET Based,Govt / GIA,18130,18130,RAJKOT
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",EWS,GUJCET Based,Govt / GIA,28948,50092,RAJKOT
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,13879,28367,RAJKOT
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,GUJCET Based,Govt / GIA,32206,34571,RAJKOT
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",EWS,JEE Based,Govt / GIA,910566,910566,RAJKOT
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,904458,904458,RAJKOT
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,JEE Based,Govt / GIA,906883,906883,RAJKOT
"ELECTRONICS & COMMUNICATION
ENGINEERING - TFWS","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",TFWs,GUJCET Based,Govt / GIA,8167,12811,RAJKOT
"INSTRUMENTATION &
CONTROL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,35157,39221,RAJKOT
"INSTRUMENTATION &
CONTROL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,903221,930695,RAJKOT
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",EWS,GUJCET Based,Govt / GIA,27192,30374,RAJKOT
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,14967,24978,RAJKOT
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,GUJCET Based,Govt / GIA,29332,32444,RAJKOT
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,904997,904997,RAJKOT
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",SEBC,JEE Based,Govt / GIA,916166,916166,RAJKOT
"ROBOTICS AND
AUTOMATION","GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,GUJCET Based,Govt / GIA,19616,50564,RAJKOT
ROBOTICS AND AUTOMATION,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",GEN,JEE Based,Govt / GIA,903957,908729,RAJKOT
ROBOTICS AND AUTOMATION - TFWS,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",TFWs,GUJCET Based,Govt / GIA,17615,17615,RAJKOT
BIOMEDICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",GEN,GUJCET Based,Govt / GIA,33826,50019,GANDHINAGAR
BIOMEDICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",GEN,JEE Based,Govt / GIA,910509,931399,GANDHINAGAR
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",EWS,GUJCET Based,Govt / GIA,24372,26522,GANDHINAGAR
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SEBC,GUJCET Based,Govt / GIA,22498,28807,GANDHINAGAR
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",ST,GUJCET Based,Govt / GIA,35610,38924,GANDHINAGAR
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",GEN,JEE Based,Govt / GIA,904622,904622,GANDHINAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",GEN,GUJCET Based,Govt / GIA,2772,2902,GANDHINAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SC,GUJCET Based,Govt / GIA,10887,14379,GANDHINAGAR
