Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SEBC,GUJCET_Rank,Self-Finance,12494,18737,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SC,GUJCET_Rank,Self-Finance,24560,25025,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN - TFW,TFWS,GUJCET_Rank,Self-Finance,4535,5096,KARAMSAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES &
TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,1272,5368,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES &
TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,5380,5736,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,5447,10143,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES &
TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,10958,17813,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES &
TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,ESM,GUJCET_Rank,Self-Finance,12061,12061,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES &
TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,37628,37628,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY - TFWS,TFWS,GUJCET_Rank,Self-Finance,451,2543,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GEN,GUJCET_Rank,Self-Finance,303,3933,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,GUJCET_Rank,Self-Finance,3951,4443,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SEBC,GUJCET_Rank,Self-Finance,4127,8633,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,GUJCET_Rank,Self-Finance,4245,11553,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ESM,GUJCET_Rank,Self-Finance,5807,11701,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,GUJCET_Rank,Self-Finance,22023,29196,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) - TFWS,TFWS,GUJCET_Rank,Self-Finance,702,2109,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,923,11970,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,14693,18304,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,14961,35378,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,ST,GUJCET_Rank,Self-Finance,21887,32571,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,SC,GUJCET_Rank,Self-Finance,22707,36334,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,GEN-PH,GUJCET_Rank,Self-Finance,25576,25576,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,EWS-PH,GUJCET_Rank,Self-Finance,38371,38371,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,14502,38748,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,5334,38894,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,ELECTRICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,26507,36867,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,12679,38703,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,15632,38242,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CHEMICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,6976,38948,AHMEDABAD
